name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Eagleson Drive,9889,677770499,4020,4019,1,117.2901972940914,1,25,,residential,6,"LINESTRING (-91.7776698 37.9725598, -91.7778622 37.9727027, -91.7779292 37.9727291, -91.7779905 37.9727379, -91.7785872 37.9727335, -91.77867929999999 37.9727291, -91.7787462 37.9727181, -91.7789135 37.9726675)",bike,1
Eagleson Drive,9890,677770500,4020,4023,1,46.51686347721585,1,25,,residential,6,"LINESTRING (-91.7776698 37.9725598, -91.7773074 37.9728654)",bike,1
Eagleson Drive,9891,677770500,4023,4020,1,46.51686347721585,1,25,,residential,6,"LINESTRING (-91.7773074 37.9728654, -91.7776698 37.9725598)",bike,1
Cooper Street,9892,677770501,4020,4021,1,133.43324975000036,1,25,,residential,6,"LINESTRING (-91.7776698 37.9725598, -91.7771358 37.9721301, -91.7765935 37.9717113)",bike,1
Cooper Street,9893,677770501,4021,4020,1,133.43324975000036,1,25,,residential,6,"LINESTRING (-91.7765935 37.9717113, -91.7771358 37.9721301, -91.7776698 37.9725598)",bike,1
Cooper Street,9894,677770501,4021,4022,1,52.202924064211565,1,25,,residential,6,"LINESTRING (-91.7765935 37.9717113, -91.7761668 37.9713838)",bike,1
Cooper Street,9895,677770501,4022,4021,1,52.202924064211565,1,25,,residential,6,"LINESTRING (-91.7761668 37.9713838, -91.7765935 37.9717113)",bike,1
Silverstone Drive,9896,677770502,4024,4021,1,32.80680004791303,1,25,,residential,6,"LINESTRING (-91.77689049999999 37.9715321, -91.776717 37.97163, -91.7765935 37.9717113)",bike,1
Silverstone Drive,9897,677770502,4021,4024,1,32.80680004791303,1,25,,residential,6,"LINESTRING (-91.7765935 37.9717113, -91.776717 37.97163, -91.77689049999999 37.9715321)",bike,1
Silverstone Drive,9898,677770502,4021,4012,1,47.892374534176994,1,25,,residential,6,"LINESTRING (-91.7765935 37.9717113, -91.7761921 37.9720035)",bike,1
Silverstone Drive,9899,677770502,4012,4021,1,47.892374534176994,1,25,,residential,6,"LINESTRING (-91.7761921 37.9720035, -91.7765935 37.9717113)",bike,1
,9900,705842936,1826,1827,1,158.55514850568716,1,29,,service,7,"LINESTRING (-91.8036005 37.940008, -91.8038128 37.9397644, -91.8038181 37.9397285, -91.8038128 37.9396925, -91.8037994 37.9396714, -91.8031771 37.9393033, -91.8031342 37.9392927, -91.8030859 37.9392991, -91.8030349 37.9393181, -91.8030081 37.9393435, -91.8028243 37.9395704)",bike,1
,9901,705842936,1827,1826,1,158.55514850568713,1,29,,service,7,"LINESTRING (-91.8028243 37.9395704, -91.8030081 37.9393435, -91.8030349 37.9393181, -91.8030859 37.9392991, -91.8031342 37.9392927, -91.8031771 37.9393033, -91.8037994 37.9396714, -91.8038128 37.9396925, -91.8038181 37.9397285, -91.8038128 37.9397644, -91.8036005 37.940008)",bike,1
,9902,705842937,1826,1827,1,83.67213063052468,1,29,,service,7,"LINESTRING (-91.8036005 37.940008, -91.8028243 37.9395704)",bike,1
,9903,705842937,1827,1826,1,83.67213063052468,1,29,,service,7,"LINESTRING (-91.8028243 37.9395704, -91.8036005 37.940008)",bike,1
,9904,705842938,1827,1828,1,15.130074717780914,1,29,,service,7,"LINESTRING (-91.8028243 37.9395704, -91.8026552 37.9395974)",bike,1
,9905,705842938,1828,1827,1,15.130074717780914,1,29,,service,7,"LINESTRING (-91.8026552 37.9395974, -91.8028243 37.9395704)",bike,1
,9906,705842939,4025,4026,1,21.874322483662816,1,29,,service,7,"LINESTRING (-91.79921299999999 37.9410449, -91.7991538 37.9408538)",bike,1
,9907,705842939,4026,4025,1,21.874322483662816,1,29,,service,7,"LINESTRING (-91.7991538 37.9408538, -91.79921299999999 37.9410449)",bike,1
,9908,705842940,4027,4028,1,22.23021714910719,1,29,,service,7,"LINESTRING (-91.7986069 37.9411719, -91.7985422 37.9409786)",bike,1
,9909,705842940,4028,4027,1,22.23021714910719,1,29,,service,7,"LINESTRING (-91.7985422 37.9409786, -91.7986069 37.9411719)",bike,1
